nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
45,1,0.118461,0.100016,0.000000,-78100.089489,-204530.776456,10503.346768,337941.321733,-1511.633168,-24261.739702,913840.750000
46,1,0.031489,0.013043,0.000000,288653.759511,-565425.472656,22171.016771,35791.209388,33615.093334,-4043.677599,464802.531250
47,1,0.154487,0.013043,0.000000,418490.389062,-222900.334961,55405.425586,93321.127441,-59087.478882,-29961.400053,770318.562500
48,1,0.118461,0.100016,0.105093,37123.394434,-102951.736914,77175.226758,482291.731250,26720.689331,-7629.699414,568680.437500
49,1,0.154487,0.013043,0.105093,476641.887500,-194145.357617,63371.724414,79152.675549,62684.372949,23040.033057,705487.375000
50,1,0.031489,0.013043,0.105093,338566.870312,-664575.537793,41919.605127,-2621.678369,-19113.686426,7674.820312,934303.750000
51,1,0.013043,0.031489,0.021019,206965.772550,-957340.078835,-5088.668457,155059.824285,9032.243966,-36522.415083,1007563.062500
52,1,0.013043,0.031489,0.042037,148361.835734,-931999.983724,-33817.304667,150032.274089,-3706.086085,-32128.507462,1260541.750000
53,1,0.013043,0.031489,0.063056,146716.777140,-981800.241496,-45750.357666,141256.218582,-7646.044495,13938.114405,1880770.875000
54,1,0.013043,0.031489,0.084075,147154.793652,-971951.811670,-44549.390820,136976.426172,-12728.132581,19992.808936,767983.312500
55,1,0.027538,0.045984,0.105093,263031.793945,11905.679688,134160.323730,141143.837708,-23272.801880,-117307.041016,485521.281250
56,1,0.042034,0.060480,0.105093,235778.777832,-67909.347656,99582.185913,111536.297913,-18504.937561,-73608.982422,310914.343750
57,1,0.056529,0.074975,0.105093,152481.160645,-204348.396484,37287.792480,17024.298508,-20085.440369,-22659.468994,335889.750000
58,1,0.071025,0.089470,0.105093,79735.019531,-278309.750000,-11192.741638,-88198.338196,-17395.656860,18026.981201,393286.593750
59,1,0.085520,0.103966,0.105093,-124448.640159,-439905.841518,-119275.652623,-255418.358817,-21183.032506,29220.678153,701704.250000
60,1,0.100016,0.118461,0.084075,-366721.793679,-592182.756392,-127060.697576,151832.964134,25188.556030,-6176.857267,966724.312500
61,1,0.100016,0.118461,0.063056,-397107.768555,-661956.712891,-202187.224121,90208.245605,6920.722641,-5131.178295,952316.187500
62,1,0.100016,0.118461,0.042037,-389587.242188,-679692.810764,-210537.835720,110866.392795,-6656.644391,11714.381399,952316.187500
63,1,0.100016,0.118461,0.021019,-410291.560954,-753805.380208,-189718.650608,143615.931641,-21261.887383,11344.376790,558071.687500
64,1,0.085520,0.103966,0.000000,-113502.296766,-455027.928602,-15498.083333,-68864.273438,3022.514106,-62414.033420,1003739.500000
