nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
39,1,-0.015524,0.037478,0.000000,160856.580664,-698424.957812,-7561.796289,-214947.177734,-59342.247876,-53027.735547,703353.562500
40,1,-0.015524,0.037478,0.134537,209760.107422,-660339.346094,29640.337695,-192961.937891,49304.284253,16926.805029,1237830.125000
41,1,-0.015524,0.179827,0.134537,-121112.707520,-963049.515625,-27413.754883,263457.850586,57053.930542,-76871.707001,1016749.937500
42,1,-0.015524,0.179827,0.000000,-91805.439128,-884424.468750,-39696.337891,262611.588542,-85491.326823,92097.652995,837065.375000
43,1,-0.116180,0.138133,0.134537,-345471.148438,-487868.703125,-75782.743327,-164375.373047,-9653.588704,-16539.013672,423860.062500
44,1,-0.116180,0.138133,0.000000,-329108.937500,-499343.126674,-100518.438616,-33670.489397,-30743.137695,-31340.548828,512822.406250
45,1,0.138133,0.116180,0.000000,47845.767388,-6298.018663,85585.956706,362440.453125,-37942.302029,-9037.995280,851070.812500
46,1,0.037478,0.015524,0.000000,233276.952474,-400745.650391,5463.359701,-40989.752035,13799.443685,-7273.448812,585358.062500
47,1,0.179827,0.015524,0.000000,292997.203125,-173350.071875,34565.623047,123445.794531,-59046.426562,-56977.360547,378222.343750
48,1,0.138133,0.116180,0.134537,-49341.313477,-121482.860156,9629.263477,352225.098438,17627.407935,8876.881836,588234.062500
49,1,0.179827,0.015524,0.134537,369277.173779,-122925.804419,14466.306055,98404.448438,35861.327344,35186.175000,546623.312500
50,1,0.037478,0.015524,0.134537,119532.878125,-405883.769531,-30950.923502,-77047.592578,-41010.031970,16185.359302,711690.500000
51,1,0.015524,0.037478,0.019220,134475.523514,-786682.643921,-41999.061096,197379.057861,36374.988495,-63399.215027,1277023.875000
52,1,0.015524,0.037478,0.038439,127259.922070,-727242.980469,-22741.458691,176950.435156,24109.124628,-13465.486096,631205.812500
53,1,0.015524,0.037478,0.057659,109978.608154,-701961.776563,-25827.957813,176942.694922,5023.641595,-11695.723596,631205.812500
54,1,0.015524,0.037478,0.076878,118021.305859,-647173.802344,-10521.672852,174788.035156,-10431.786328,10260.508185,1378888.000000
55,1,0.015524,0.037478,0.096098,115203.652561,-726088.481771,-20258.257161,192341.312934,-30075.565904,9876.961039,649636.562500
56,1,0.015524,0.037478,0.115317,135127.910427,-655193.642756,492.194425,194144.139915,-41424.455722,12486.802634,729413.500000
57,1,0.029903,0.051857,0.134537,258184.145833,88069.310547,126637.555644,192702.719727,-17808.103628,-38402.834066,403863.812500
58,1,0.044283,0.066236,0.134537,222901.368490,-11481.030273,45963.091634,101329.005534,9843.871867,966.207110,191614.953125
59,1,0.058662,0.080616,0.134537,125087.747070,-74878.704590,8614.515503,24722.327148,21035.554199,25320.518555,225060.937500
60,1,0.073041,0.094995,0.134537,16378.315430,-170870.589844,-18555.169922,-71213.411621,14094.354372,36902.636719,174098.203125
61,1,0.087421,0.109375,0.134537,-35127.727702,-229345.572917,-12917.322103,-155481.613932,3921.453776,25113.004639,278788.718750
62,1,0.101800,0.123754,0.134537,-160468.725260,-380999.255208,-70840.648275,-192593.651042,-471.654093,-3671.371012,184572.812500
63,1,0.116180,0.138133,0.115317,-361994.853299,-535812.775174,-126369.652127,98707.408908,9137.273121,3499.597298,500073.531250
64,1,0.116180,0.138133,0.096098,-332172.057031,-499485.604687,-144380.232422,102247.375977,6426.209168,-7499.235906,286506.968750
65,1,0.116180,0.138133,0.076878,-308794.249290,-459153.004616,-136750.890980,109432.042259,-1169.723151,-1980.367823,807007.250000
66,1,0.116180,0.138133,0.057659,-338843.096094,-512877.574219,-160236.210156,104180.209180,-8679.433490,7679.611972,688554.125000
67,1,0.116180,0.138133,0.038439,-343606.195668,-532467.497869,-152635.228249,111598.447976,-2469.877588,-851.483545,459473.500000
68,1,0.116180,0.138133,0.019220,-346046.213379,-596511.957031,-145462.171509,107529.939941,-7244.807697,10573.051726,951694.062500
69,1,0.101800,0.123754,0.000000,-135320.953125,-476558.611979,-55127.812174,-213905.071615,11817.036702,-21192.517415,263626.875000
70,1,0.087421,0.109375,0.000000,-91439.920247,-282312.445312,-31895.569621,-194536.044352,7886.080790,-15080.579010,445731.562500
71,1,0.073041,0.094995,0.000000,-21511.331055,-210843.679688,-17069.452759,-112588.915527,-6250.908691,-7562.089096,445731.562500
72,1,0.058662,0.080616,0.000000,80152.146484,-103192.537170,7998.285034,-12385.211426,-16815.375977,-5625.909851,170998.812500
73,1,0.044283,0.066236,0.000000,133747.840332,-49209.753937,46379.253113,58078.768127,-2588.483582,21176.815140,207836.328125
74,1,0.029903,0.051857,0.000000,203424.460693,39128.123291,84467.706314,124807.952087,6825.731934,39378.893555,246266.234375
75,1,0.015524,0.179827,0.115317,-149507.088734,-932208.007457,-68928.924094,-202737.686879,-44255.282323,-77803.021579,1373189.750000
76,1,0.015524,0.179827,0.096098,-132025.710236,-873175.617188,-106731.603271,-220696.458984,-26441.742126,-49473.573380,1310497.000000
77,1,0.015524,0.179827,0.076878,-108913.553440,-819700.529514,-84552.224175,-219865.872396,-10718.377784,-19419.562514,1243442.375000
78,1,0.015524,0.179827,0.057659,-127112.580539,-899777.967014,-105706.432509,-169648.745215,4498.798244,15116.429803,1104426.625000
79,1,0.015524,0.179827,0.038439,-116051.664497,-907580.565972,-102778.304226,-168511.948215,19828.664069,54237.707031,1277694.000000
80,1,0.015524,0.179827,0.019220,-112689.546034,-982226.515625,-96976.662326,-158784.089545,34292.158447,92670.289822,858765.937500
81,1,0.033788,0.177305,0.000000,203519.108887,-64714.272461,79256.428711,-227278.730469,68763.489990,-6184.246094,514545.625000
82,1,0.051700,0.172933,0.000000,272203.560547,-80203.456380,75805.233398,-78284.288127,-18843.728353,-3443.139486,514545.625000
83,1,0.069073,0.166756,0.000000,198722.009440,-137871.560547,56046.282227,78476.592448,-70662.926432,-229.724040,282223.406250
84,1,0.085724,0.158839,0.000000,1343.918620,-242524.210938,20409.520671,205893.170573,-67766.752604,30508.958903,434368.500000
85,1,0.101481,0.149265,0.000000,-204739.816162,-558580.736328,-69874.122192,290324.287109,-23566.508354,10752.622070,569628.125000
86,1,0.101481,0.149265,0.134537,-133181.343262,-406252.164062,-31306.315712,274770.693359,32144.323723,-12906.620239,523125.031250
87,1,0.085724,0.158839,0.134537,109601.421387,-227524.034668,18999.105469,165142.223958,60077.028971,-22717.487142,566744.062500
88,1,0.069073,0.166756,0.134537,179178.502480,-237618.493164,33499.730469,96357.065674,35434.887039,-22873.260742,283947.250000
89,1,0.051700,0.172933,0.134537,293947.177083,-72010.951823,56468.974935,-63474.066732,-3279.516195,15200.829183,287138.437500
90,1,0.033788,0.177305,0.134537,36070.956706,-136511.970378,91042.452148,-278464.891927,-105026.335938,-2187.766764,156765.062500
91,1,0.015524,0.159491,0.134537,-59367.959473,-1500299.593750,-96841.334351,-59813.497314,-6156.303833,-83205.189453,1413047.000000
92,1,0.015524,0.139155,0.134537,9785.045898,-1363555.562500,-9894.213440,6660.519836,-1932.592163,-23308.228027,1388370.125000
93,1,0.015524,0.118820,0.134537,5108.478516,-1338132.781250,1660.863342,2688.176758,-3046.069397,-9108.000946,1327245.625000
94,1,0.015524,0.098484,0.134537,6382.095947,-1320557.906250,4744.204346,1325.514404,-3210.525696,-4138.623505,1311404.125000
95,1,0.015524,0.078149,0.134537,4925.898193,-1312422.750000,2067.887085,963.096436,-3679.178711,4213.458923,1308088.250000
96,1,0.015524,0.057813,0.134537,-3273.067871,-1366559.812500,-26366.601440,13869.406250,-5925.032837,53399.182495,1258376.625000
97,1,0.015524,0.057813,0.000000,-11149.710246,-1430735.145833,-110021.324382,38306.746582,-3801.088786,-83826.937500,1256417.750000
